City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Lazaro Cardenas,MX,2022-01-29 19:14:48,17.9583,-102.2,83.43,57,0,7.07,clear sky
1,Los Andes,CL,2022-01-29 19:14:49,-32.8337,-70.5983,82.0,32,0,10.31,clear sky
2,Ejura,GH,2022-01-29 19:14:49,7.3856,-1.3562,87.4,16,98,4.61,overcast clouds
3,Gizo,SB,2022-01-29 19:14:49,-8.103,156.8419,82.27,77,100,8.9,light rain
4,Bilibino,RU,2022-01-29 19:19:08,68.0546,166.4372,-3.75,87,100,2.89,overcast clouds
5,Tessalit,ML,2022-01-29 19:19:08,20.1986,1.0114,72.72,11,97,12.12,overcast clouds
6,Bathsheba,BB,2022-01-29 19:22:45,13.2167,-59.5167,81.21,81,40,18.41,scattered clouds
7,Berdigestyakh,RU,2022-01-29 19:22:46,62.0989,126.6992,-25.15,100,100,2.64,overcast clouds
8,Punta Arenas,CL,2022-01-29 19:19:09,-53.15,-70.9167,55.51,44,75,19.57,broken clouds
9,Anadyr,RU,2022-01-29 19:14:51,64.75,177.4833,-12.5,76,40,2.24,fog
10,Rikitea,PF,2022-01-29 19:19:09,-23.1203,-134.9692,77.29,74,100,12.8,light rain
11,Harlingen,US,2022-01-29 19:22:46,26.1906,-97.6961,64.31,36,100,5.75,overcast clouds
12,Saint-Philippe,RE,2022-01-29 19:22:47,-21.3585,55.7679,78.39,84,56,9.51,broken clouds
13,Strezhevoy,RU,2022-01-29 19:22:47,60.7333,77.5889,-4.02,100,100,3.91,overcast clouds
14,Yellowknife,CA,2022-01-29 19:19:10,62.456,-114.3525,-4.59,85,100,5.75,light snow
15,Barrow,US,2022-01-29 19:22:47,71.2906,-156.7887,-7.58,71,100,12.66,overcast clouds
16,Kavieng,PG,2022-01-29 19:22:48,-2.5744,150.7967,81.16,78,100,8.46,moderate rain
17,Sao Filipe,CV,2022-01-29 19:22:48,14.8961,-24.4956,71.06,71,100,11.9,overcast clouds
18,Pangnirtung,CA,2022-01-29 19:22:48,66.1451,-65.7125,-14.8,70,100,4.61,light snow
19,Albany,US,2022-01-29 19:22:48,42.6001,-73.9662,15.15,64,100,8.01,overcast clouds
20,Tateyama,JP,2022-01-29 19:14:53,34.9833,139.8667,41.09,84,41,13.53,scattered clouds
21,Maniitsoq,GL,2022-01-29 19:14:54,65.4167,-52.9,10.11,75,100,29.3,light snow
22,San Cristobal,VE,2022-01-29 19:14:54,7.7669,-72.225,80.78,35,6,9.86,clear sky
23,Ushuaia,AR,2022-01-29 19:11:48,-54.8,-68.3,49.66,87,100,20.71,light rain
24,Ust-Omchug,RU,2022-01-29 19:14:54,61.15,149.6333,-12.82,99,94,6.17,overcast clouds
25,Craig,US,2022-01-29 19:12:27,40.5153,-107.5464,23.76,62,0,6.91,clear sky
26,Kalmunai,LK,2022-01-29 19:14:55,7.4167,81.8167,77.56,83,27,1.81,scattered clouds
27,Atuona,PF,2022-01-29 19:14:55,-9.8,-139.0333,77.23,80,29,14.54,light rain
28,Carthage,TN,2022-01-29 19:14:55,36.8611,10.3316,49.86,65,1,10.78,clear sky
29,Mataura,NZ,2022-01-29 19:10:53,-46.1927,168.8643,61.48,96,100,1.88,light rain
30,Ilulissat,GL,2022-01-29 19:10:38,69.2167,-51.1,14.02,52,75,18.41,broken clouds
31,Gravdal,NO,2022-01-29 19:14:56,68.1214,13.5031,29.61,78,100,8.32,overcast clouds
32,Vaini,TO,2022-01-29 19:10:52,-21.2,-175.2,81.34,79,100,17.36,light rain
33,Mahebourg,MU,2022-01-29 19:14:56,-20.4081,57.7,80.89,78,40,8.05,scattered clouds
34,Iqaluit,CA,2022-01-29 19:14:57,63.7506,-68.5145,-7.87,59,100,4.61,light snow
35,Pa Sang,TH,2022-01-29 19:14:57,18.5262,98.9394,67.12,60,40,1.99,scattered clouds
36,Qaanaaq,GL,2022-01-29 19:14:57,77.484,-69.3632,-4.97,62,100,8.93,overcast clouds
37,Jamestown,US,2022-01-29 19:20:56,42.097,-79.2353,18.52,48,20,5.01,few clouds
38,Nikolskoye,RU,2022-01-29 19:14:58,59.7035,30.7861,26.87,87,100,13.29,light snow
39,Wewak,PG,2022-01-29 19:19:13,-3.5534,143.6268,77.4,88,99,7.31,moderate rain
40,Ust-Kut,RU,2022-01-29 19:14:58,56.7938,105.7672,-9.74,100,96,1.12,overcast clouds
41,Dingle,PH,2022-01-29 19:10:50,10.9995,122.6711,74.98,91,11,1.86,few clouds
42,Georgetown,MY,2022-01-29 19:19:10,5.4112,100.3354,83.89,87,20,1.01,few clouds
43,Roebourne,AU,2022-01-29 19:14:59,-20.7833,117.1333,83.34,57,100,17.31,overcast clouds
44,Hermanus,ZA,2022-01-29 19:14:59,-34.4187,19.2345,74.89,71,1,15.86,clear sky
45,Carnarvon,AU,2022-01-29 19:11:07,-24.8667,113.6333,75.27,88,67,9.22,broken clouds
46,Hithadhoo,MV,2022-01-29 19:15:00,-0.6,73.0833,81.28,65,100,1.77,overcast clouds
