City ID,City,Country,Date,Lat,Lng,Min Temp,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Ushuaia,AR,2022-01-29 20:40:06,-54.8,-68.3,46.06,46.06,93,75,25.32,moderate rain
1,Hilo,US,2022-01-29 20:37:14,19.7297,-155.09,73.4,78.53,61,100,3.44,overcast clouds
2,Te Anau,NZ,2022-01-29 20:41:05,-45.4167,167.7167,57.67,57.67,88,100,1.41,light rain
3,Dunmore East,IE,2022-01-29 20:41:06,52.1514,-6.9861,40.62,44.69,77,20,1.14,few clouds
4,Puerto Ayora,EC,2022-01-29 20:37:34,-0.7393,-90.3518,80.56,80.56,71,28,9.35,scattered clouds
5,Evensk,RU,2022-01-29 20:41:06,61.95,159.2333,15.4,15.4,80,100,11.39,overcast clouds
6,Lompoc,US,2022-01-29 20:41:07,34.6391,-120.4579,60.69,69.19,40,0,0.0,clear sky
7,Kapaa,US,2022-01-29 20:41:07,22.0752,-159.319,77.32,78.78,72,0,3.0,clear sky
8,Hobart,AU,2022-01-29 20:41:07,-42.8794,147.3294,57.11,61.27,71,100,1.01,overcast clouds
9,Arraial Do Cabo,BR,2022-01-29 20:36:59,-22.9661,-42.0278,76.86,76.96,94,75,11.5,broken clouds
10,Busselton,AU,2022-01-29 20:41:08,-33.65,115.3333,65.08,67.05,91,5,14.34,clear sky
11,Vaini,TO,2022-01-29 20:41:08,-21.2,-175.2,81.46,81.46,78,100,16.84,overcast clouds
12,Albany,US,2022-01-29 20:41:09,42.6001,-73.9662,3.36,16.59,62,100,1.99,overcast clouds
13,Severnyy-Kospashskiy,RU,2022-01-29 20:41:09,59.0925,57.8008,8.6,8.6,63,100,4.74,overcast clouds
14,Hurricane,US,2022-01-29 20:37:56,37.1753,-113.2899,46.87,57.7,19,37,1.81,scattered clouds
15,Avarua,CK,2022-01-29 20:41:10,-21.2078,-159.775,82.45,82.45,78,20,11.5,few clouds
16,Port Elizabeth,ZA,2022-01-29 20:36:16,-33.918,25.5701,68.09,68.29,83,100,10.36,overcast clouds
17,Tura,IN,2022-01-29 20:40:10,25.5198,90.2201,50.61,50.61,59,0,2.48,clear sky
18,Butaritari,KI,2022-01-29 20:41:10,3.0707,172.7902,82.11,82.11,76,25,19.89,light rain
19,Jamestown,US,2022-01-29 20:39:12,42.097,-79.2353,10.51,17.29,49,0,7.0,clear sky
20,Isla Mujeres,MX,2022-01-29 20:41:11,21.2311,-86.731,71.17,71.17,65,100,18.54,overcast clouds
21,Castro,BR,2022-01-29 20:41:11,-24.7911,-50.0119,60.17,60.17,99,100,6.11,overcast clouds
22,Sept-Iles,CA,2022-01-29 20:41:11,50.2001,-66.3821,1.83,5.05,62,100,4.0,overcast clouds
23,Marshfield,US,2022-01-29 20:41:12,44.6689,-90.1718,19.31,24.24,58,75,11.5,broken clouds
24,Mataura,NZ,2022-01-29 20:41:12,-46.1927,168.8643,57.36,57.36,93,100,2.57,light rain
25,Handan,CN,2022-01-29 20:41:13,36.6006,114.4678,30.6,30.6,88,12,4.38,few clouds
26,Inhambane,MZ,2022-01-29 20:41:08,-23.865,35.3833,75.76,75.76,76,84,8.93,broken clouds
27,Mahebourg,MU,2022-01-29 20:41:13,-20.4081,57.7,79.25,80.89,78,40,9.22,scattered clouds
28,Chuy,UY,2022-01-29 20:41:13,-33.6971,-53.4616,74.12,74.12,61,18,11.32,few clouds
29,Sechura,PE,2022-01-29 20:40:28,-5.5569,-80.8222,79.21,79.21,62,58,16.93,broken clouds
30,Port Alfred,ZA,2022-01-29 20:41:14,-33.5906,26.891,70.18,70.18,83,46,12.37,scattered clouds
31,Nalut,LY,2022-01-29 20:41:14,30.3333,10.85,43.95,43.95,55,0,9.24,clear sky
32,Lewistown,US,2022-01-29 20:38:38,40.5992,-77.5714,20.01,24.08,64,0,9.22,clear sky
33,Atuona,PF,2022-01-29 20:41:15,-9.8,-139.0333,77.72,77.72,75,18,13.67,few clouds
34,Nadvoitsy,RU,2022-01-29 20:41:15,63.8667,34.3167,17.49,17.49,83,100,13.85,snow
35,Naron,ES,2022-01-29 20:41:16,43.5167,-8.1528,49.05,52.66,74,100,6.8,overcast clouds
36,Dunedin,NZ,2022-01-29 20:41:16,-45.8742,170.5036,62.8,62.8,89,100,4.27,light rain
37,Barrow,US,2022-01-29 20:41:17,71.2906,-156.7887,-7.58,-7.58,71,100,12.66,overcast clouds
38,Eirunepe,BR,2022-01-29 20:41:17,-6.6603,-69.8736,87.73,87.73,61,100,2.26,overcast clouds
39,East London,ZA,2022-01-29 20:41:17,-33.0153,27.9116,72.01,72.01,80,83,10.71,broken clouds
40,Hermanus,ZA,2022-01-29 20:39:49,-34.4187,19.2345,65.8,65.8,76,3,13.76,clear sky
41,Kavieng,PG,2022-01-29 20:41:18,-2.5744,150.7967,82.18,82.18,75,100,7.36,light rain
42,Camaqua,BR,2022-01-29 20:41:18,-30.8511,-51.8122,75.02,75.02,53,35,9.86,scattered clouds
43,Loa Janan,ID,2022-01-29 20:41:19,-0.583,117.095,72.99,72.99,94,99,0.29,overcast clouds
44,Punta Arenas,CL,2022-01-29 20:40:02,-53.15,-70.9167,53.11,53.71,43,75,24.16,broken clouds
45,Huntsville,US,2022-01-29 20:41:19,34.7304,-86.5861,31.19,38.89,35,0,3.0,clear sky
46,Bluff,NZ,2022-01-29 20:42:19,-46.6,168.3333,58.39,58.39,88,100,6.85,overcast clouds
47,Tautira,PF,2022-01-29 20:42:20,-17.7333,-149.15,80.01,82.42,74,100,14.07,overcast clouds
48,Kismayo,SO,2022-01-29 20:42:20,-0.3582,42.5454,77.47,77.47,78,5,15.48,clear sky
49,Hokitika,NZ,2022-01-29 20:42:21,-42.7167,170.9667,64.09,64.09,62,69,1.54,broken clouds
50,Bossangoa,CF,2022-01-29 20:42:21,6.4926,17.4552,75.25,75.25,21,80,4.07,broken clouds
51,Lebu,CL,2022-01-29 20:42:21,-37.6167,-73.65,64.4,64.4,76,2,10.96,clear sky
52,Omboue,GA,2022-01-29 20:42:22,-1.5746,9.2618,78.6,78.6,86,98,6.15,overcast clouds
53,Rio Branco,BR,2022-01-29 20:42:22,-9.9747,-67.81,81.21,81.21,83,75,3.44,broken clouds
54,Yar-Sale,RU,2022-01-29 20:39:46,66.8333,70.8333,-9.54,-9.54,97,93,8.77,overcast clouds
55,Ribeira Grande,PT,2022-01-29 20:42:23,38.5167,-28.7,59.4,59.4,67,20,5.75,few clouds
56,Tuktoyaktuk,CA,2022-01-29 20:42:23,69.4541,-133.0374,-9.4,-9.4,77,75,14.97,light snow
57,Bambanglipuro,ID,2022-01-29 20:42:23,-7.95,110.2833,77.38,77.38,87,100,3.98,overcast clouds
58,Piacabucu,BR,2022-01-29 20:42:24,-10.4056,-36.4344,77.79,77.79,67,100,4.74,overcast clouds
59,New Norfolk,AU,2022-01-29 20:42:24,-42.7826,147.0587,56.75,60.93,62,23,1.68,few clouds
60,Cidreira,BR,2022-01-29 20:42:25,-30.1811,-50.2056,73.67,73.67,58,56,12.64,broken clouds
61,Tasiilaq,GL,2022-01-29 20:42:25,65.6145,-37.6368,14.16,14.16,76,94,6.64,overcast clouds
62,Mataram,ID,2022-01-29 20:42:26,-8.5833,116.1167,76.01,76.01,86,100,2.28,overcast clouds
63,Nikolskoye,RU,2022-01-29 20:42:26,59.7035,30.7861,23.81,26.87,85,100,14.97,light snow
64,Nanortalik,GL,2022-01-29 20:42:26,60.1432,-45.2371,19.78,19.78,65,100,12.53,light snow
65,Beringovskiy,RU,2022-01-29 20:42:27,63.05,179.3167,-11.65,-11.65,100,97,3.38,overcast clouds
66,Olafsvik,IS,2022-01-29 20:42:27,64.8945,-23.7142,38.62,38.62,67,100,29.35,overcast clouds
67,Clyde River,CA,2022-01-29 20:42:28,70.4692,-68.5914,-5.57,-5.57,59,100,11.5,overcast clouds
68,Klaksvik,FO,2022-01-29 20:42:28,62.2266,-6.589,34.72,34.72,63,60,28.54,broken clouds
69,Milyutinskaya,RU,2022-01-29 20:42:28,48.6279,41.6679,32.43,33.64,94,99,15.55,overcast clouds
70,Torbay,CA,2022-01-29 20:42:29,47.6666,-52.7314,30.88,33.58,91,100,21.85,overcast clouds
71,Rikitea,PF,2022-01-29 20:39:59,-23.1203,-134.9692,77.32,77.32,73,100,10.71,overcast clouds
72,Palora,EC,2022-01-29 20:42:29,-1.7,-77.9333,78.91,82.38,67,100,2.86,overcast clouds
73,Northam,GB,2022-01-29 20:42:29,51.0333,-4.2167,39.34,47.39,88,80,8.39,broken clouds
74,Siilinjarvi,FI,2022-01-29 20:42:30,63.0833,27.6667,24.82,24.82,93,100,17.27,light snow
75,Portland,US,2022-01-29 20:40:41,45.5234,-122.6762,41.9,51.78,57,20,1.99,few clouds
76,Cherskiy,RU,2022-01-29 20:42:30,68.75,161.3,-29.11,-29.11,100,43,1.95,scattered clouds
77,Indramayu,ID,2022-01-29 20:42:31,-6.3264,108.32,79.0,79.0,85,100,4.61,overcast clouds
78,Mont-Dore,NC,2022-01-29 20:42:31,-22.2833,166.5833,75.18,79.0,99,59,6.85,broken clouds
79,Bredasdorp,ZA,2022-01-29 20:42:31,-34.5322,20.0403,65.28,65.52,77,5,8.05,clear sky
80,Fortuna,US,2022-01-29 20:42:32,40.5982,-124.1573,53.94,57.92,76,0,7.0,clear sky
81,Marawi,PH,2022-01-29 20:42:32,7.9986,124.2928,66.65,66.65,94,86,0.76,overcast clouds
82,Payson,US,2022-01-29 20:42:33,40.0444,-111.7321,26.47,44.69,38,0,6.91,clear sky
83,Saldanha,ZA,2022-01-29 20:42:33,-33.0117,17.9442,68.05,68.05,87,0,16.91,clear sky
84,Qaanaaq,GL,2022-01-29 20:42:33,77.484,-69.3632,0.36,0.36,64,100,11.1,overcast clouds
85,Xichang,CN,2022-01-29 20:39:10,27.8964,102.2634,35.98,35.98,76,0,2.01,clear sky
86,Basco,PH,2022-01-29 20:42:34,20.4487,121.9702,74.64,74.64,83,99,25.3,overcast clouds
87,Thompson,CA,2022-01-29 20:40:27,55.7435,-97.8558,-0.24,-0.24,71,40,5.75,scattered clouds
88,Tiksi,RU,2022-01-29 20:38:39,71.6872,128.8694,-8.61,-8.61,99,53,4.79,broken clouds
89,Saint-Louis,SN,2022-01-29 20:42:35,16.3333,-15.0,81.05,81.05,17,100,11.34,overcast clouds
90,Suntar,RU,2022-01-29 20:42:35,62.1444,117.6319,-17.23,-17.23,97,56,4.83,broken clouds
91,Hasaki,JP,2022-01-29 20:43:35,35.7333,140.8333,26.89,27.0,61,65,19.8,broken clouds
92,Yellowknife,CA,2022-01-29 20:43:36,62.456,-114.3525,-7.08,-4.59,83,100,5.75,light snow
93,Nome,US,2022-01-29 20:43:36,64.5011,-165.4064,-9.33,-7.83,59,0,0.0,clear sky
94,Jumla,NP,2022-01-29 20:43:36,29.2747,82.1838,32.02,32.02,49,0,5.12,clear sky
95,Badvel,IN,2022-01-29 20:43:37,14.75,79.05,68.22,68.22,93,2,2.06,clear sky
96,Whitianga,NZ,2022-01-29 20:43:37,-36.8333,175.7,68.45,68.45,61,9,1.81,clear sky
97,Cape Town,ZA,2022-01-29 20:41:48,-33.9258,18.4232,66.09,72.01,71,20,4.0,few clouds
98,Saskylakh,RU,2022-01-29 20:43:38,71.9167,114.0833,-21.84,-21.84,100,99,3.44,overcast clouds
99,Lavrentiya,RU,2022-01-29 20:43:38,65.5833,-171.0,-3.82,-3.82,83,3,4.07,clear sky
100,Solnechnyy,RU,2022-01-29 20:43:39,50.7214,136.6319,-17.57,-17.57,94,61,2.95,broken clouds
101,Axim,GH,2022-01-29 20:43:39,4.8699,-2.2405,80.11,80.11,84,59,7.34,broken clouds
102,Pisco,PE,2022-01-29 20:43:39,-13.7,-76.2167,72.01,75.25,64,0,16.11,clear sky
103,Cap Malheureux,MU,2022-01-29 20:43:40,-19.9842,57.6142,79.47,81.09,75,87,4.0,overcast clouds
104,Ocean City,US,2022-01-29 20:43:40,39.2776,-74.5746,16.99,23.29,89,100,14.0,overcast clouds
105,Constitucion,CL,2022-01-29 20:40:58,-35.3333,-72.4167,65.12,65.12,74,51,10.33,broken clouds
106,Mangrol,IN,2022-01-29 20:43:41,21.1167,70.1167,65.37,65.37,37,2,10.92,clear sky
107,Quatre Cocos,MU,2022-01-29 20:43:41,-20.2078,57.7625,79.09,80.71,71,97,14.32,overcast clouds
108,San Juan De La Maguana,DO,2022-01-29 20:43:42,18.8059,-71.2299,75.33,75.33,46,38,6.33,scattered clouds
109,Muisne,EC,2022-01-29 20:43:42,0.6,-80.0333,82.51,82.51,85,100,3.89,light rain
