City ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
1,Hilo,US,78.53,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
4,Puerto Ayora,EC,80.56,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
6,Lompoc,US,69.19,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
7,Kapaa,US,78.78,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
9,Arraial Do Cabo,BR,76.96,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
10,Busselton,AU,67.05,clear sky,-33.65,115.3333,Observatory Guest House
11,Vaini,TO,81.46,overcast clouds,-21.2,-175.2,Keleti Beach Resort
15,Avarua,CK,82.45,few clouds,-21.2078,-159.775,Paradise Inn
16,Port Elizabeth,ZA,68.29,overcast clouds,-33.918,25.5701,39 On Nile Guest House
18,Butaritari,KI,82.11,light rain,3.0707,172.7902,Isles Sunset Lodge
20,Isla Mujeres,MX,71.17,overcast clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
21,Castro,BR,60.17,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
26,Inhambane,MZ,75.76,broken clouds,-23.865,35.3833,Oceano
27,Mahebourg,MU,80.89,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
28,Chuy,UY,74.12,few clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
29,Sechura,PE,79.21,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
30,Port Alfred,ZA,70.18,scattered clouds,-33.5906,26.891,The Halyards Hotel
33,Atuona,PF,77.72,few clouds,-9.8,-139.0333,Villa Enata
36,Dunedin,NZ,62.8,light rain,-45.8742,170.5036,Scenic Hotel Southern Cross
38,Eirunepe,BR,87.73,overcast clouds,-6.6603,-69.8736,Atrás de você
39,East London,ZA,72.01,broken clouds,-33.0153,27.9116,Tu Casa
40,Hermanus,ZA,65.8,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
41,Kavieng,PG,82.18,light rain,-2.5744,150.7967,Nusa Island Retreat
42,Camaqua,BR,75.02,scattered clouds,-30.8511,-51.8122,Bartz Hotel
43,Loa Janan,ID,72.99,overcast clouds,-0.583,117.095,Kost bu jono
47,Tautira,PF,82.42,overcast clouds,-17.7333,-149.15,Pension Oaoa
48,Kismayo,SO,77.47,clear sky,-0.3582,42.5454,Agan-Hotel
49,Hokitika,NZ,64.09,broken clouds,-42.7167,170.9667,Beachfront Hotel Hokitika
50,Bossangoa,CF,75.25,broken clouds,6.4926,17.4552,LA PERLE DE BOSTON
51,Lebu,CL,64.4,clear sky,-37.6167,-73.65,Hostal Las Lilas
52,Omboue,GA,78.6,overcast clouds,-1.5746,9.2618,Hotel Olako
53,Rio Branco,BR,81.21,broken clouds,-9.9747,-67.81,Inácio Palace Hotel
57,Bambanglipuro,ID,77.38,overcast clouds,-7.95,110.2833,Puri Brata
58,Piacabucu,BR,77.79,overcast clouds,-10.4056,-36.4344,Piaçabuçu News
60,Cidreira,BR,73.67,broken clouds,-30.1811,-50.2056,Hotel Castelo
62,Mataram,ID,76.01,overcast clouds,-8.5833,116.1167,Hotel Santika Mataram
71,Rikitea,PF,77.32,overcast clouds,-23.1203,-134.9692,People ThankYou
72,Palora,EC,82.38,overcast clouds,-1.7,-77.9333,Rancho grande
77,Indramayu,ID,79.0,overcast clouds,-6.3264,108.32,Grand Trisula Hotel
