City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Saint-Pierre,RE,2022-01-28 00:24:09,-21.3393,55.4781,73.08,73,75,5.75
1,Alencon,FR,2022-01-28 00:24:10,48.4333,0.0833,39.99,99,100,3.24
2,Busselton,AU,2022-01-28 00:24:10,-33.65,115.3333,67.05,60,0,12.35
3,Kapaa,US,2022-01-28 00:24:11,22.0752,-159.319,81.12,69,0,1.99
4,Castro,BR,2022-01-28 00:22:15,-24.7911,-50.0119,65.64,93,100,0.98
5,Vaini,TO,2022-01-28 00:24:11,-21.2,-175.2,82.8,77,73,15.52
6,Pangnirtung,CA,2022-01-28 00:22:34,66.1451,-65.7125,-14.04,89,100,6.42
7,Rimbey,CA,2022-01-28 00:24:12,52.6334,-114.2353,32.92,80,57,5.44
8,Cape Town,ZA,2022-01-28 00:23:17,-33.9258,18.4232,65.26,72,20,10.36
9,La Ronge,CA,2022-01-28 00:24:12,55.1001,-105.2842,8.85,78,100,2.3
10,Bluff,NZ,2022-01-28 00:23:56,-46.6,168.3333,66.79,58,74,6.31
11,Lebu,CL,2022-01-28 00:24:10,-37.6167,-73.65,61.38,91,8,4.36
12,Albany,US,2022-01-28 00:20:52,42.6001,-73.9662,24.46,56,92,4.52
13,Dalian,CN,2022-01-28 00:24:13,38.9122,121.6022,22.93,54,0,4.47
14,Butaritari,KI,2022-01-28 00:22:30,3.0707,172.7902,82.27,77,37,15.12
15,Punta Arenas,CL,2022-01-28 00:21:21,-53.15,-70.9167,51.91,82,0,9.22
16,East London,ZA,2022-01-28 00:21:32,-33.0153,27.9116,73.42,91,13,15.84
17,Corinto,GR,2022-01-28 00:24:14,37.9407,22.9573,43.9,77,3,2.86
18,Klaksvik,FO,2022-01-28 00:24:14,62.2266,-6.589,41.92,73,96,18.37
19,Ushuaia,AR,2022-01-28 00:20:29,-54.8,-68.3,51.46,71,75,10.36
20,San Patricio,US,2022-01-28 00:24:14,28.017,-97.5169,62.69,70,100,9.15
21,Rikitea,PF,2022-01-28 00:24:15,-23.1203,-134.9692,78.73,75,84,17.45
22,Atuona,PF,2022-01-28 00:21:38,-9.8,-139.0333,78.24,77,3,17.36
23,Sept-Iles,CA,2022-01-28 00:23:13,50.2001,-66.3821,14.05,71,75,10.0
24,Dolinsk,RU,2022-01-28 00:24:15,47.35,142.8,-2.34,89,51,3.31
25,Mataura,NZ,2022-01-28 00:24:16,-46.1927,168.8643,66.47,30,53,1.39
26,Waitati,NZ,2022-01-28 00:24:16,-45.75,170.5667,62.8,61,31,5.64
27,Hobart,AU,2022-01-28 00:20:18,-42.8794,147.3294,86.02,56,75,1.99
28,Tasiilaq,GL,2022-01-28 00:23:55,65.6145,-37.6368,21.36,95,100,5.37
29,Tura,IN,2022-01-28 00:24:17,25.5198,90.2201,46.83,66,0,2.8
